kinase,SK6.AT13148,JAK2.AZD1480,AKT.AZD5363,CDK.AZD5438,PI3k.AZD6482,mTOR.AZD8055,CK2.CX4945,BRAF.Dabrafenib,TKI.Dasatinib,ERK.GDC0994,AKT.GSK690693,cMET.JNJ38877605,CDK.LEE011,SK6.LY2584702,CDK.LY2835219,AKT.MK2206,TKI.MP470,PAK.PF3758309,P38.PH797804,ROCK.Ripasudil,JAK2.Tofacitinib,MEK.Trametinib,ERK.Ulixertinib,BRAF.Vemurafenib,AKT.AZD5363,AKT.GDC0068,CDK12.AZD5438,CDK46.LY2835219,CK2.CX4945,EGFR.AZD3759,ERK.GDC0994,GSK3.LY2090314,JAK2.AZD1480,JNK.JNKIN8,MEK.Trametinib,mTOR.AZD8055,p70S6K.LY2584702,PAK.PF3758309,PDK1.GSK2334470,PI3K.GDC0941,PI3K.HS173,PKC.GF109203X,PKC.Go6976,PKC.Go6983,TKI.MP470,p110?.AZD6482,p110?.CAL101,p110?/?.GDC0941,p110?.HS173,p110?.PIK294,p110?.TGX221,CDK129.AZD5438,PAK.FRAX486,mTORC12.Ku0063794,mTORC12.Torin1,PDK1.BX912,GSK3AB.CHIR99021,GSK3AB.LY2090314,MEK1.AZD6244,ROCK2.KD025,ROCK12.Ripasudil
YES1,1,1,1,1,1,1,1,1,4.29E-05,1,1,1,1,1,1,1,1,0.087347357,1,1,1,1,1,1,0.875647668,1,0.939849624,0.86,0.83,0.728506787,0.88988989,0.97,0.61,0.89,0.85,0.87,0.89,0.51,0.834024896,0.93,0.88,0.83,0.75,0.889779559,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKCI,1,1,1,1,1,1,1,1,1,1,0.031136674,1,1,1,1,1,1,0.430522086,1,1,1,1,1,1,0.772020725,1,0.879699248,0.86,0.86,0.969834087,0.91991992,0.95,0.82,1,0.99,0.93,0.93,0.54,0.802904564,1,1,0.79,0.85,0.809619238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS6KA5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.47090682,1,1,1,1,1,1,1,1,0.989974937,0.64,0.9,0.979889392,0.98998999,0.98,0.35,0.85,0.95,0.88,1,0.91,0.68879668,0.93,0.49,0.73,0.88,0.919839679,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKCE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875647668,1,0.84962406,0.17,0.89,0.688285571,0.84984985,1,0.96,1,1,1,0.87,0,0.937759336,0.97,1,0,0.83,0.012024048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GRK1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.616580311,1,0.869674185,0.78,0.41,0.698340875,0.73973974,1,0.45,1,1,0.97,0.93,0.0085,0.813278008,0.97,0.91,0.51,0.7,0.789579158,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAK7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.896373057,1,0.919799499,0.93,0.86,0.959778783,0.82982983,0.83,0.48,0.85,0.96,0.78,1,0.016,0.68879668,0.97,0.72,0.93,0.9,1,0.78,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
GRK7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.544041451,1,0.919799499,0.72,0.14,1,1,1,0.27,0.96,0.77,0.78,1,0.059,0.94813278,1,0.9,0.35,0.55,0.759519038,0.94,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NTRK1.2.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.658031088,1,0.679197995,0.5,0.55,0.688285571,0.78978979,1,0.005,1,1,1,1,0.065,0.968879668,0.97,0.99,0.74,0.062,0.749498998,0.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS6KA2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.886010363,0.62,0.789473684,0.72,0.84,0.849170437,1,0.87,0.87,0.88,0.72,0.98,0.93,0.066,0.802904564,0.93,0.96,0.34,0.82,0.619238477,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CLK2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.316062176,1,0.649122807,0.05,0.065,0.808949221,0.85985986,0.7,0.75,0.84,0.88,0.85,1,0.072,0.7406639,0.9,0.73,0.33,0.64,0.408817635,0.87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAK1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.865284974,1,0.829573935,0.73,0.92,0.979889392,0.93993994,0.91,0.81,0.86,0.81,0.99,1,0.086,0.79253112,1,0.97,0.75,0.84,0.769539078,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
LATS2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.077720207,1,0.739348371,0.63,0.82,0.869281046,0.75975976,1,0.8,0.98,0.9,0.48,0.7,0.21,0.751037344,1,0.97,0.59,0.49,0.639278557,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DCLK3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.4,0.8,1,1,1,0.27,0.86,0.93,1,1,0.25,0.782157676,1,1,0.81,1,0.869739479,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.18134715,1,0.979949875,1,0.94,0.919557567,0.95995996,0.97,0.85,0.97,0.99,0.95,1,0.25,0.585062241,1,0.9,0.86,1,0.98997996,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FGR,1,1,1,1,1,1,1,0.024336274,6.38E-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.889724311,0.72,0.74,1,1,1,0.6,0.9,0.83,0.91,1,0.33,0.865145228,1,0.95,0.83,0.84,0.869739479,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAMK2A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.772020725,1,0.859649123,0.021,0.6,0.839115133,0.8998999,0.72,0.68,0.83,0.94,0.91,0.94,0.36,0.709543568,0.89,0.81,0.69,0.56,0.719438878,0.87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ULK1,1,1,1,1,1,1,0.057562164,0.002942716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9,0.78,0.939668175,1,1,1,1,1,1,1,0.37,1,1,1,0.99,0.97,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AKT3,1,1,1,1,1,1,1,1,1,1,0.018416442,1,1,1,1,0.003328904,1,1,1,1,1,1,1,1,0.212435233,0,0.769423559,0.7,0.69,0.899446958,0.87987988,0.81,0.99,0.7,0.68,0.81,0.74,0.42,0.79253112,0.81,0.81,0.52,0.87,0.358717435,0.72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DAPK2.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.813471503,1,0.939849624,0.45,0.029,0.597787833,1,0.75,0.8,0.85,0.85,0.88,1,0.45,0.657676349,0.99,0.69,0.73,0.78,0.749498998,0.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAPK12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.32642487,1,0.578947368,0.47,0.5,0.7586727,0.71971972,0.77,0.59,0.55,0.76,0.49,0.75,0.46,0.387966805,1,0.75,0.49,0.38,0.639278557,0.57,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAP2K3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.048391571,1,1,1,1,0.170984456,1,0.097744361,0.16,0.61,0.678230266,0.309309309,1,0.92,1,0.95,0.88,0.95,0.48,0.802904564,0.95,0.87,0.68,0.15,0.709418838,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAP3K3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.823834197,1,0.729323308,0.88,0.97,0.959778783,1,0.84,0.048,0.82,0.94,0.98,1,0.48,0.834024896,0.95,0.91,0.66,0.53,0.328657315,0.9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HCK,1,1,1,1,1,1,1,1,0.000437706,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.84,0.62,0.989944696,1,1,0.47,0.94,0.92,0.83,0.99,0.49,0.958506224,1,0.86,0.97,0.9,0.879759519,0.98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAPK15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92746114,1,0.002506266,0.003,0.0075,0.979889392,0.249249249,0.13,0.95,0.97,0.75,0.92,0.89,0.49,0.937759336,0.99,0.9,0.11,0.19,0.719438878,0.11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAST1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.699481865,1,0.789473684,0,0.26,0.436902966,0.71971972,1,0.82,1,1,0.79,0.9,0.52,0.927385892,0.85,0.84,0.81,0.55,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAK2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92746114,1,0.819548872,0.32,0.61,1,0.92992993,1,0.98,0.91,0.87,0.96,1,0.53,0.89626556,1,0.98,0.38,0.74,0.569138277,0.98,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
ABL1,1,1,1,1,1,1,1,0.024278187,5.82E-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.699481865,1,0.729323308,0.72,0.67,0.537456008,0.87987988,0.84,0.58,0.92,0.88,0.86,0.96,0.54,0.605809129,0.012,0.97,0.61,0.64,0.689378758,0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAP2K2,1,1,1,1,1,1,1,1,0.052965075,1,1,1,1,1,1,1,1,1,1,1,1,0.000119321,1,1,0.440414508,1,0.588972431,0.7,0.62,0.728506787,0.77977978,0.7,0.81,0.84,0.001,0.8,0.92,0.54,0.668049793,1,0.96,0.66,0.59,0.478957916,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
PAK3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.92746114,0.37,1,0.85,0.55,0.959778783,1,0.94,0.67,0.96,0.73,0.75,0.81,0.58,1,0.98,0.67,0.73,1,0.859719439,0.78,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
HIPK2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.720207254,1,0.609022556,0,0.011,0.788838612,0.70970971,1,1,1,1,1,0.96,0.61,0.917012448,0.87,0.79,0.48,0.32,0.789579158,0.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TTK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.792746114,1,0.65914787,0.34,0.8,1,1,0.85,0.81,0.81,0.9,0.15,1,0.63,0.719917012,0.99,0.97,0.83,0.72,0.739478958,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JAK1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.834196891,1,0.117794486,1,0.92,1,0.94994995,1,0,1,1,1,1,0.64,0.657676349,0.98,1,0.7,0.46,0.679358717,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAP2K5,1,1,1,1,1,1,1,0.036051426,0.022501257,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.011522903,0.70984456,1,0.498746867,0.68,0.39,0.648064354,0.54954955,1,1,0.95,0.99,0.96,0.91,0.64,0.906639004,0.99,0.78,0.66,0.55,0.689378758,0.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAP2K1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.000960141,1,1,0.502590674,1,0.619047619,0.7,0.57,0.658119658,0.77977978,0.91,1,1,0,0.83,0.99,0.65,0.751037344,0.97,0.97,0.7,0.67,0.599198397,0.68,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
MAP3K15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.689119171,1,0.989974937,0.31,0.44,0.788838612,0.58958959,1,1,1,1,0.77,1,0.65,0.802904564,0.97,0.91,0.88,0.48,0.879759519,0.67,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HIPK4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.59,0.18,1,0.219219219,1,0.99,1,0.99,1,0.98,0.66,0.989626556,1,1,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MINK1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.751295337,1,0.689223058,0.44,0.67,0.7586727,0.6996997,0.99,0.99,0.96,1,0.87,0.97,0.67,0.730290456,1,1,0.63,0.23,0.629258517,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CSNK2A2,1,0.062173481,1,0.029573111,1,1,3.17E-07,1,1,1,1,1,1,1,0.000287741,1,1,1,1,1,1,1,1,1,0.803108808,1,0.20802005,0.003,0,0.889391654,1,0.99,0.88,0.91,0.91,0.93,1,0.68,0.79253112,1,0.98,0.69,0.67,0.759519038,0.86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAP3K14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.886010363,1,0.378446115,0.72,0.89,0.436902966,0.55955956,1,1,1,1,1,0.8,0.68,0.854771784,0.78,0.77,0.97,0.61,1,0.58,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CSNK1A1,1,1,1,0.050886836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.906735751,1,0.759398496,0.64,0.54,1,1,0.93,0.94,0.97,0.86,0.85,1,0.69,0.94813278,1,0.96,0.75,0.79,1,0.93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JAK2,1,1,1,1,1,1,1,0.050657845,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.347150259,1,0.308270677,0.73,0.53,0.718451483,0.51951952,0.94,0,1,1,0.76,0.92,0.69,0.802904564,0.83,0.88,0.75,0.13,0.699398798,0.69,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TYK2,1,1,1,1,1,1,0.037427134,1,0.022005502,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.70984456,1,0.228070175,0.89,0.4,0.718451483,0.6996997,1,0,1,1,0.91,1,0.7,0.823651452,0.94,0.98,0.84,0.13,0.779559118,0.71,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAP3K2,1,1,1,1,1,1,1,1,0.03300265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.906735751,1,0.869674185,0.91,0.77,0.819004525,0.76976977,1,0.026,1,1,0.98,0.61,0.73,0.917012448,1,0.96,0.042,0.52,0.929859719,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDK4,1,1,1,1,1,1,1,0.001968608,1,1,1,1,1,1,0.001502045,1,1,1,1,1,1,1,1,1,0.896373057,1,0.127819549,0.0075,0.95,0.859225742,0.85985986,0.76,0.86,0.97,0.89,0.76,0.95,0.74,0.823651452,0.76,0.85,0.64,0.7,0.809619238,0.96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MAPK9,1,1,1,0.029820655,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.989637306,1,0.20802005,0.41,0.65,0.617898441,0.55955956,1,1,0.001,1,0.56,0.88,0.74,0.84439834,0.73,0.89,0.7,0.64,0.519038076,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRKG2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.430051813,0.03,0.749373434,0.74,0.78,0.748617396,0.73973974,0.99,0.99,1,1,1,0.99,0.74,0.875518672,1,1,0.18,0.88,0.799599198,0.79,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PIK3C2G,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.419689119,1,0.629072682,0.79,0.73,0.889391654,0.78978979,0.74,0.65,0.81,0.82,0.8,0.99,0.75,0.605809129,0.49,0.17,0.7,0.67,0.619238477,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HIPK3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.751295337,1,0.739348371,0.012,0.033,0.829059829,0.75975976,1,1,1,1,0.83,1,0.76,1,0.88,0.92,0.59,0.28,0.003006012,0.72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JAK3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.316062176,1,0.268170426,0.33,0.56,0.969834087,0.71971972,0.83,0,0.84,0.88,0.91,0.97,0.76,0.823651452,0.91,0.97,0.27,0.12,0.579158317,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ROCK1.2,0.000401691,1,0.011083664,1,1,1,1,1,1,1,0.042058561,1,1,1,1,1,1,1,1,0.000510422,1,1,1,1,0.067357513,1,0.909774436,0.36,0.73,0.658119658,0.74974975,1,1,1,1,1,1,0.76,0.906639004,0.99,0.97,0.76,0.72,0.829659319,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
MTOR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85492228,1,0.498746867,0.79,0.83,0.7586727,0.82982983,0.73,0.78,0.93,0.9,0,0.91,0.77,0.906639004,0.45,0.73,0.93,0.8,0.839679359,0.8,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
PIK3CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.85492228,1,0.779448622,0.93,0.77,0.969834087,0.87987988,0.95,0.91,0.99,0.95,0.15,0.94,0.77,0.699170124,0.006,0.0065,0.68,0.77,0.719438878,0.96,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
PDGFRB,1,1,1,1,1,1,1,1,0.004581339,0.062674868,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.585492228,1,0.829573935,0.86,0.68,0.959778783,0.60960961,1,0.7,0.85,0.93,0.9,0.99,0.79,0.927385892,0.96,0.91,0.68,0.62,0.819639279,0.61,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PIM3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.813471503,1,0.859649123,0.032,0.37,0.989944696,0.95995996,0.91,0.87,0.79,0.81,0.93,1,0.8,0.761410788,0.99,0.93,0.15,0.49,0.478957916,0.97,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SRPK1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875647668,1,0.528822055,0.72,0.9,0.819004525,0.81981982,0.34,0.74,0.94,1,1,0.94,0.83,0.875518672,1,1,0.64,0.38,0.739478958,0.91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
